Requirement ID,Requirement,Status,Severity,Evidence,Notes
1,Systematic 10-minute medical consultation (SOCRATES + full history),PARTIAL,P1,"QuestionPlanner.java:22-71; ClinicalSection.java:6-10; DashavidhaQuestionPlanner.java; AharaViharaQuestionPlanner.java","25 fixed questions (7 SOCRATES + 10 Dashavidha + 8 Ahara-Vihara); no PMH/meds/allergies/family/ROS; no timer; no consult output"
2,Patient identification via ABDM / ABHA + Aadhaar biometric digital ID,MISSING,P1,"module/abdm/package-info.java:3; PhysicianCaseWorkspaceService.java:52-55","No ABHA/Aadhaar/biometrics; local demo identity only; users only seeded (V3)"
3,Multilingual kiosk UI (English + 10 regional languages incl Hindi),PARTIAL,P1,"SupportedLanguage.java:16-22; intake.js:4","5 languages (en,hi,te,ta,kn) of required ~11"
4,ASR hands-free voice in multiple languages,WEAK,P1,"intake.js:658; BhashiniSpeechRecognitionService.java; UnavailableSpeechRecognitionService.java","Mic + ASR integrated but no credentials -> typing only"
5,Heartbeat system for continuous ASR connectivity monitoring,MISSING,P2,"grep: no heartbeat/connectivity code in src","No silent-failure monitor for ASR"
6,TTS multi-language free-text synthesis,WEAK,P1,"intake.js:804; BhashiniSpeechSynthesisService.java; UnavailableSpeechSynthesisService.java","Integrated; no live provider -> silent"
7,Medical-domain-specific AI assistant,WEAK,P1,"AbstractClinicalAiProvider.java:67-72,88-90; AiProviderConfig.java:23-39; AiConversationService.java","Providers key-gated; unconfigured -> deterministic offline only"
8,AI in ambulance / paramedic use cases,MISSING,P1,"no ambulance/paramedic module found","Not scaffolded"
9,AI explainability / possible-cause lists for doctors,MISSING,P1,"no possible-cause/differential/AIX code in physician or clinical","Physician view shows answers/flags/documents/audit only"
10,OCR for scanned prescription digitization,WEAK,P0,"case.html:225; medikiosk.ocr.provider=local-dev; physician case template","PDF text extraction works; images fail honestly; no real OCR engine"
11,Handwritten prescription recognition (HWR),MISSING,P0,"no HWR code found","Not scaffolded"
12,Hindi TTS/OCR,PARTIAL,P0,"SupportedLanguage.HINDI; OCR pipeline","Hindi UI/TTS ready; Hindi OCR absent"
13,Drug-interaction check Rx vs patient history,MISSING,P0,"InteractionAnalysisStatus.java (only NOT_AVAILABLE); ClinicalDocumentFindings","Explicitly unavailable; no medication-history record in model"
14,AI doctor recommendation / physician workflow,PARTIAL,P1,"module/physician (workspace, review, timeline); ReviewDecision.java","Dashboards + review exist; no consultation output; no AI recommendation; role-only access"
15,Localized 404 / error screens,PARTIAL,P3,"error/403.html; error/404.html; error/500.html","Friendly error pages exist and are tested but are fixed English-only; not wired to patient language"
16,FHIR-based HIS interoperability,PARTIAL,P1,"module/fhir (mapping, validation, interop); LocalOnlyExportTransport.java","R4 export + validation; export-only, no write-back"
17,Clinical-grade accuracy / AI reliability,MISSING,P0,"RedFlagEvaluator.java:29-76; no confidence/validation code","Demo rules disclosed; no clinical validation, no confidence scores"
18,Medical transcription (voice -> transcript),WEAK,P1,"AnswerSource (VOICE/TEXT); PatientIntakeVoiceController.java","Transcript captured; live transcription needs ASR keys"
19,IoT device integration (vitals etc.),MISSING,P3,"no device code; vitals only from parsed docs (ClinicalDocumentFindings)",,Not scaffolded
20,Accessibility / low-literacy & rural UX,PARTIAL,P2,"patient templates; intake.js voice/large-text flow","Voice-first + 5 languages; no pictogram options, no offline, no screen-reader test"
21,Low-bandwidth / offline readiness,WEAK,P2,"fragments/head.html (Bootstrap 5.3.3 CDN)","CDN dependency breaks styling/JS offline; no PWA/offline cache"
22,Security & privacy & compliance,PARTIAL,P1,"SecurityConfig.java; PhysicianTimelineService.java:80-85; PhysicianCaseWorkspaceService.java:162-167","Solid base; no TLS in-app, any-physician-any-case, audit omits actor, plaintext storage, no retention/export/delete"
23,Consent-first patient experience,COMPLETE,P3,"module/consent; V4 migration; Consent entity","Opt-in required and persisted; surfaced to physician"
24,Reliability / availability / observability,PARTIAL,P2,"Actuator health,info; structured logs; error pages","No metrics/alerting; single node; in-memory sessions"
25,Add-on value features,PARTIAL,P2,"document findings; summaries; FHIR export; physician review","Real value present; no consultation output, no scheduling, no analytics"
